transaction_id,transaction_datetime,date,year,month,day,dow,is_weekend,city,store_id,channel,size,variant,topping,payment_method,weather,temperature_c,quantity,list_price_idr,promo_code,discount_pct,unit_price_after_discount,delivery_fee_idr,gross_revenue_idr,rating
TX004516,2024-01-01 17:03:25,2024-01-01,2024,1,1,Monday,False,Surabaya,SBY-04,Dine-in,Small,LessSugar,None,GoPay,Rain,33.0,3,18500.0,PAYDAY20,0.2,14800.0,0,44400.0,
TX008533,2024-01-01 17:11:15,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-10,Dine-in,Regular,Original,None,Debit,Rain,30.9,1,23100.0,PAYDAY20,0.2,18500.0,0,18500.0,4.1
TX004536,2024-01-01 17:27:48,2024-01-01,2024,1,1,Monday,False,Denpasar,DPS-03,Takeaway,Large,Original,None,QRIS,Sunny,31.5,3,28100.0,,0.0,28100.0,0,84300.0,3.0
TX000206,2024-01-01 18:29:20,2024-01-01,2024,1,1,Monday,False,Surabaya,SBY-03,Delivery,Regular,Original,None,GoPay,Rain,33.9,1,22700.0,,0.0,22700.0,10000,32700.0,
TX000097,2024-01-01 18:30:41,2024-01-01,2024,1,1,Monday,False,Jakarta,JKT-06,Delivery,Regular,Durian,ExtraCoconut,OVO,Rain,29.9,1,33400.0,,0.0,33400.0,10000,43400.0,
TX003130,2024-01-01 18:42:54,2024-01-01,2024,1,1,Monday,False,Bandung,BDG-03,Takeaway,Regular,Original,None,GoPay,Rain,21.4,1,22000.0,,0.0,22000.0,0,22000.0,4.7
TX004838,2024-01-01 19:41:36,2024-01-01,2024,1,1,Monday,False,Surabaya,SBY-04,Takeaway,Large,Original,None,QRIS,Cloudy,32.5,2,26800.0,,0.0,26800.0,0,53600.0,4.4
TX009346,2024-01-02 10:19:40,2024-01-02,2024,1,2,Tuesday,False,Medan,MDN-01,Dine-in,Small,Original,None,GoPay,Sunny,30.5,1,18400.0,,0.0,18400.0,0,18400.0,3.7
TX001457,2024-01-02 11:32:20,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-02,Online-App,Large,Durian,None,OVO,Sunny,30.6,1,34600.0,,0.0,34600.0,12000,46600.0,
TX000851,2024-01-02 12:06:56,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-09,Dine-in,Large,Original,None,Debit,Cloudy,28.6,1,27300.0,,0.0,27300.0,0,27300.0,
TX007953,2024-01-02 12:09:02,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-01,Takeaway,Regular,Special,None,Debit,Cloudy,28.8,2,27000.0,,0.0,27000.0,0,54000.0,
TX004504,2024-01-02 13:39:11,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-06,Online-App,Regular,LessSugar,CheeseFoam,ShopeePay,Cloudy,33.8,2,29100.0,,0.0,29100.0,12000,70200.0,
TX006944,2024-01-02 13:51:10,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-04,Dine-in,Large,LessSugar,None,GoPay,Sunny,33.2,1,27300.0,,0.0,27300.0,0,27300.0,
TX009225,2024-01-02 14:22:46,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-03,Online-App,Small,Original,ExtraAvocado,ShopeePay,Rain,30.1,1,24400.0,,0.0,24400.0,12000,36400.0,
TX009694,2024-01-02 15:29:29,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-02,Delivery,Large,LessSugar,None,ShopeePay,Cloudy,30.1,2,27300.0,,0.0,27300.0,10000,64600.0,
TX005637,2024-01-02 15:36:47,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-09,Takeaway,Regular,Original,ExtraJackfruit,OVO,Cloudy,34.4,2,27100.0,,0.0,27100.0,0,54200.0,
TX002048,2024-01-02 16:03:02,2024-01-02,2024,1,2,Tuesday,False,Medan,MDN-02,Delivery,Regular,Original,ExtraCoconut,QRIS,Cloudy,32.0,1,26400.0,,0.0,26400.0,12000,38400.0,
TX007248,2024-01-02 16:11:55,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-05,Takeaway,Regular,Durian,None,Credit,Rain,27.1,3,29400.0,,0.0,29400.0,0,88200.0,3.6
TX000440,2024-01-02 16:15:53,2024-01-02,2024,1,2,Tuesday,False,Medan,MDN-02,Dine-in,Small,Special,None,QRIS,Rain,34.4,2,20400.0,,0.0,20400.0,0,40800.0,3.9
TX008093,2024-01-02 16:20:54,2024-01-02,2024,1,2,Tuesday,False,Medan,MDN-01,Dine-in,Small,Original,None,OVO,Rain,29.8,1,18400.0,,0.0,18400.0,0,18400.0,4.3
TX006437,2024-01-02 16:33:26,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-03,Delivery,Large,Original,ExtraAvocado,OVO,Sunny,30.1,1,33100.0,,0.0,33100.0,10000,43100.0,
TX005999,2024-01-02 16:45:16,2024-01-02,2024,1,2,Tuesday,False,Medan,MDN-03,Takeaway,Regular,Special,None,OVO,Rain,27.5,1,25500.0,,0.0,25500.0,0,25500.0,
TX009041,2024-01-02 17:00:46,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-03,Takeaway,Regular,Original,None,GoPay,Cloudy,30.0,1,23800.0,,0.0,23800.0,0,23800.0,4.4
TX004852,2024-01-02 17:15:29,2024-01-02,2024,1,2,Tuesday,False,Bandung,BDG-02,Online-App,Regular,Durian,None,GoPay,Cloudy,23.3,1,28000.0,,0.0,28000.0,8000,36000.0,
TX004665,2024-01-02 17:35:48,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-03,Dine-in,Small,Original,None,QRIS,Rain,26.7,1,19400.0,RAINY15,0.15,16500.0,0,16500.0,4.9
TX007179,2024-01-02 18:01:23,2024-01-02,2024,1,2,Tuesday,False,Jakarta,JKT-03,Dine-in,Large,Special,ExtraAvocado,OVO,Rain,32.4,1,35400.0,RAINY15,0.15,30100.0,0,30100.0,4.6
TX005985,2024-01-02 19:24:38,2024-01-02,2024,1,2,Tuesday,False,Denpasar,DPS-03,Dine-in,Small,Durian,ExtraJackfruit,QRIS,Rain,27.3,1,28800.0,,0.0,28800.0,0,28800.0,
TX007017,2024-01-02 20:14:55,2024-01-02,2024,1,2,Tuesday,False,Bandung,BDG-03,Dine-in,Regular,Original,None,QRIS,Cloudy,24.9,2,22000.0,,0.0,22000.0,0,44000.0,
TX007092,2024-01-03 11:32:39,2024-01-03,2024,1,3,Wednesday,False,Jakarta,JKT-09,Takeaway,Regular,LessSugar,None,ShopeePay,Cloudy,29.8,1,23100.0,,0.0,23100.0,0,23100.0,
TX004685,2024-01-03 12:08:59,2024-01-03,2024,1,3,Wednesday,False,Jakarta,JKT-10,Dine-in,Small,Special,None,OVO,Cloudy,33.8,1,21000.0,,0.0,21000.0,0,21000.0,
TX003053,2024-01-03 12:13:38,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-06,Dine-in,Regular,Original,None,Cash,Sunny,35.2,1,22700.0,,0.0,22700.0,0,22700.0,
TX002401,2024-01-03 12:35:36,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-02,Online-App,Large,Original,ExtraAvocado,Debit,Sunny,34.1,1,31800.0,,0.0,31800.0,10000,41800.0,
TX005545,2024-01-03 12:49:34,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-01,Online-App,Regular,Original,None,GoPay,Rain,33.9,2,22700.0,RAINY15,0.15,19300.0,12000,50600.0,
TX002590,2024-01-03 13:48:55,2024-01-03,2024,1,3,Wednesday,False,Medan,MDN-03,Dine-in,Regular,LessSugar,ExtraCoconut,GoPay,Rain,34.0,1,26400.0,,0.0,26400.0,0,26400.0,
TX007749,2024-01-03 14:10:18,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-06,Takeaway,Small,LessSugar,ExtraAvocado,QRIS,Sunny,34.8,2,23500.0,,0.0,23500.0,0,47000.0,
TX009808,2024-01-03 14:26:47,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-03,Takeaway,Regular,Durian,None,Debit,Rain,28.1,1,28800.0,,0.0,28800.0,0,28800.0,4.2
TX006024,2024-01-03 14:46:06,2024-01-03,2024,1,3,Wednesday,False,Denpasar,DPS-01,Online-App,Regular,Durian,None,ShopeePay,Sunny,31.1,1,30200.0,APP5,0.05,28700.0,10000,38700.0,
TX009341,2024-01-03 15:08:07,2024-01-03,2024,1,3,Wednesday,False,Bandung,BDG-03,Online-App,Large,Original,ExtraCoconut,GoPay,Rain,26.1,2,30000.0,RAINY15,0.15,25500.0,8000,59000.0,
TX006870,2024-01-03 15:10:09,2024-01-03,2024,1,3,Wednesday,False,Denpasar,DPS-02,Dine-in,Regular,Special,None,QRIS,Rain,27.9,5,27000.0,,0.0,27000.0,0,135000.0,4.2
TX005921,2024-01-03 17:03:16,2024-01-03,2024,1,3,Wednesday,False,Jakarta,JKT-08,Dine-in,Large,Original,ExtraAvocado,OVO,Rain,29.8,1,32300.0,,0.0,32300.0,0,32300.0,4.6
TX004481,2024-01-03 17:35:59,2024-01-03,2024,1,3,Wednesday,False,Surabaya,SBY-06,Dine-in,Small,Original,None,QRIS,Sunny,35.9,1,18500.0,,0.0,18500.0,0,18500.0,5.0
TX000654,2024-01-03 17:37:55,2024-01-03,2024,1,3,Wednesday,False,Jakarta,JKT-07,Delivery,Large,Original,None,ShopeePay,Rain,29.1,1,27300.0,,0.0,27300.0,12000,39300.0,
TX001916,2024-01-03 19:11:25,2024-01-03,2024,1,3,Wednesday,False,Jakarta,JKT-02,Takeaway,Small,Original,ExtraAvocado,Credit,Cloudy,30.5,3,23900.0,,0.0,23900.0,0,71700.0,4.7
TX005726,2024-01-03 21:12:01,2024-01-03,2024,1,3,Wednesday,False,Denpasar,DPS-02,Dine-in,Large,Original,None,Credit,Rain,29.3,1,28100.0,,0.0,28100.0,0,28100.0,
TX009601,2024-01-04 11:27:18,2024-01-04,2024,1,4,Thursday,False,Jakarta,JKT-01,Dine-in,Regular,Original,None,OVO,Cloudy,32.6,1,23100.0,,0.0,23100.0,0,23100.0,4.3
TX000072,2024-01-04 12:08:41,2024-01-04,2024,1,4,Thursday,False,Medan,MDN-03,Dine-in,Regular,Original,None,OVO,Sunny,35.6,1,22400.0,,0.0,22400.0,0,22400.0,
TX004624,2024-01-04 12:16:24,2024-01-04,2024,1,4,Thursday,False,Bandung,BDG-02,Dine-in,Regular,Durian,ExtraAvocado,ShopeePay,Rain,22.3,3,33000.0,,0.0,33000.0,0,99000.0,4.6
TX009998,2024-01-04 13:53:49,2024-01-04,2024,1,4,Thursday,False,Surabaya,SBY-02,Delivery,Regular,Special,None,Debit,Rain,30.9,2,25800.0,RAINY15,0.15,21900.0,14000,57800.0,
TX003488,2024-01-04 13:58:27,2024-01-04,2024,1,4,Thursday,False,Surabaya,SBY-05,Delivery,Regular,Original,None,GoPay,Sunny,35.0,1,22700.0,,0.0,22700.0,10000,32700.0,
TX009683,2024-01-04 14:30:51,2024-01-04,2024,1,4,Thursday,False,Jakarta,JKT-09,Online-App,Large,Special,ExtraAvocado,GoPay,Rain,28.2,2,35400.0,,0.0,35400.0,10000,80800.0,
TX006244,2024-01-04 14:47:10,2024-01-04,2024,1,4,Thursday,False,Jakarta,JKT-02,Dine-in,Small,Original,None,QRIS,Sunny,33.6,1,18900.0,RAINY15,0.15,16100.0,0,16100.0,3.9
TX008600,2024-01-04 15:30:03,2024-01-04,2024,1,4,Thursday,False,Bandung,BDG-03,Dine-in,Small,Original,ExtraJackfruit,GoPay,Sunny,28.1,2,22000.0,,0.0,22000.0,0,44000.0,
TX001707,2024-01-04 16:03:38,2024-01-04,2024,1,4,Thursday,False,Denpasar,DPS-03,Dine-in,Regular,Original,None,Debit,Sunny,33.3,1,23800.0,,0.0,23800.0,0,23800.0,
TX004282,2024-01-04 16:37:53,2024-01-04,2024,1,4,Thursday,False,Jakarta,JKT-05,Dine-in,Regular,Original,ExtraJackfruit,Cash,Cloudy,30.0,1,27100.0,APP5,0.05,25700.0,0,25700.0,
TX008436,2024-01-04 16:47:53,2024-01-04,2024,1,4,Thursday,False,Surabaya,SBY-05,Dine-in,Large,Original,None,GoPay,Rain,33.9,3,26800.0,B2G1,0.33,18000.0,0,54000.0,
TX003047,2024-01-04 18:38:43,2024-01-04,2024,1,4,Thursday,False,Bandung,BDG-05,Takeaway,Large,Special,ExtraAvocado,Debit,Rain,24.2,1,34000.0,,0.0,34000.0,0,34000.0,
TX005491,2024-01-04 19:59:55,2024-01-04,2024,1,4,Thursday,False,Surabaya,SBY-02,Takeaway,Regular,Original,ExtraAvocado,OVO,Cloudy,35.8,1,27700.0,,0.0,27700.0,0,27700.0,
TX009775,2024-01-04 20:07:53,2024-01-04,2024,1,4,Thursday,False,Jakarta,JKT-06,Takeaway,Regular,Special,None,QRIS,Rain,28.0,1,26200.0,,0.0,26200.0,0,26200.0,5.0
TX004909,2024-01-04 21:00:13,2024-01-04,2024,1,4,Thursday,False,Surabaya,SBY-04,Dine-in,Regular,Durian,None,ShopeePay,Rain,32.4,1,28800.0,,0.0,28800.0,0,28800.0,5.0
TX008852,2024-01-04 21:22:33,2024-01-04,2024,1,4,Thursday,False,Bandung,BDG-03,Takeaway,Small,Special,ExtraJackfruit,Cash,Sunny,26.5,1,24000.0,,0.0,24000.0,0,24000.0,3.4
TX001678,2024-01-05 10:31:55,2024-01-05,2024,1,5,Friday,False,Jakarta,JKT-06,Online-App,Regular,Durian,ExtraCoconut,OVO,Cloudy,33.9,1,33400.0,APP5,0.05,31700.0,10000,41700.0,
TX009117,2024-01-05 10:36:25,2024-01-05,2024,1,5,Friday,False,Medan,MDN-02,Delivery,Regular,Original,None,ShopeePay,Rain,31.4,1,22400.0,,0.0,22400.0,10000,32400.0,
TX001494,2024-01-05 13:06:11,2024-01-05,2024,1,5,Friday,False,Surabaya,SBY-02,Online-App,Regular,LessSugar,CheeseFoam,ShopeePay,Rain,30.3,1,28700.0,,0.0,28700.0,10000,38700.0,
TX009328,2024-01-05 13:33:10,2024-01-05,2024,1,5,Friday,False,Jakarta,JKT-04,Delivery,Small,Original,ExtraJackfruit,QRIS,Cloudy,30.2,1,22900.0,,0.0,22900.0,10000,32900.0,
TX009540,2024-01-05 13:46:47,2024-01-05,2024,1,5,Friday,False,Jakarta,JKT-06,Delivery,Small,Original,None,QRIS,Sunny,34.4,1,18900.0,,0.0,18900.0,10000,28900.0,
TX004244,2024-01-05 14:15:53,2024-01-05,2024,1,5,Friday,False,Jakarta,JKT-03,Dine-in,Small,Original,None,GoPay,Rain,30.3,1,18900.0,RAINY15,0.15,16100.0,0,16100.0,4.3
TX004379,2024-01-05 14:27:31,2024-01-05,2024,1,5,Friday,False,Bandung,BDG-05,Takeaway,Regular,Original,ExtraAvocado,Cash,Rain,17.6,1,27000.0,RAINY15,0.15,23000.0,0,23000.0,
TX003300,2024-01-05 15:07:15,2024-01-05,2024,1,5,Friday,False,Surabaya,SBY-06,Takeaway,Large,Durian,ExtraAvocado,OVO,Rain,32.8,3,39000.0,,0.0,39000.0,0,117000.0,4.5
TX009176,2024-01-05 15:09:15,2024-01-05,2024,1,5,Friday,False,Medan,MDN-03,Takeaway,Regular,Special,None,Credit,Rain,32.2,3,25500.0,,0.0,25500.0,0,76500.0,4.7
TX006828,2024-01-05 15:21:20,2024-01-05,2024,1,5,Friday,False,Medan,MDN-02,Takeaway,Regular,Original,ExtraJackfruit,ShopeePay,Sunny,31.8,1,26400.0,,0.0,26400.0,0,26400.0,4.0
TX001769,2024-01-05 15:47:56,2024-01-05,2024,1,5,Friday,False,Jakarta,JKT-09,Delivery,Large,Special,ExtraCoconut,ShopeePay,Rain,31.6,1,34400.0,,0.0,34400.0,10000,44400.0,
TX007100,2024-01-05 16:15:14,2024-01-05,2024,1,5,Friday,False,Medan,MDN-01,Dine-in,Regular,Original,None,Cash,Rain,32.0,2,22400.0,,0.0,22400.0,0,44800.0,
TX003878,2024-01-05 18:18:46,2024-01-05,2024,1,5,Friday,False,Bandung,BDG-02,Dine-in,Large,Original,ExtraCoconut,QRIS,Rain,22.3,2,30000.0,,0.0,30000.0,0,60000.0,4.5
TX002782,2024-01-06 10:07:05,2024-01-06,2024,1,6,Saturday,True,Bandung,BDG-03,Online-App,Regular,Durian,ExtraAvocado,OVO,Rain,22.2,1,33000.0,RAINY15,0.15,28000.0,8000,36000.0,
TX008517,2024-01-06 10:51:31,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-04,Takeaway,Large,LessSugar,None,OVO,Rain,32.1,1,27300.0,RAINY15,0.15,23200.0,0,23200.0,5.0
TX005043,2024-01-06 12:25:40,2024-01-06,2024,1,6,Saturday,True,Denpasar,DPS-02,Delivery,Large,LessSugar,None,Cash,Sunny,34.0,1,28100.0,,0.0,28100.0,10000,38100.0,
TX008080,2024-01-06 13:07:59,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-07,Dine-in,Regular,Original,None,GoPay,Cloudy,33.3,1,23100.0,,0.0,23100.0,0,23100.0,
TX000461,2024-01-06 13:16:18,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-05,Delivery,Large,LessSugar,None,GoPay,Rain,30.7,5,27300.0,RAINY15,0.15,23200.0,10000,126000.0,
TX008749,2024-01-06 13:42:40,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-07,Dine-in,Regular,Durian,ExtraCoconut,Cash,Rain,28.5,3,33400.0,,0.0,33400.0,0,100200.0,
TX007883,2024-01-06 14:24:51,2024-01-06,2024,1,6,Saturday,True,Denpasar,DPS-02,Takeaway,Regular,Original,None,GoPay,Sunny,32.5,1,23800.0,WEEKEND10,0.1,21400.0,0,21400.0,3.8
TX000708,2024-01-06 14:40:26,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-10,Online-App,Large,Durian,None,Credit,Rain,33.0,1,34600.0,,0.0,34600.0,10000,44600.0,
TX005297,2024-01-06 15:19:02,2024-01-06,2024,1,6,Saturday,True,Medan,MDN-01,Takeaway,Regular,Original,None,OVO,Sunny,30.8,2,22400.0,,0.0,22400.0,0,44800.0,
TX003261,2024-01-06 15:46:30,2024-01-06,2024,1,6,Saturday,True,Denpasar,DPS-02,Delivery,Small,Original,ExtraJackfruit,Cash,Rain,26.2,1,23400.0,RAINY15,0.15,19900.0,12000,31900.0,
TX007706,2024-01-06 16:12:48,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-08,Dine-in,Large,LessSugar,ExtraJackfruit,OVO,Rain,31.6,1,31300.0,,0.0,31300.0,0,31300.0,4.0
TX003510,2024-01-06 16:14:40,2024-01-06,2024,1,6,Saturday,True,Bandung,BDG-02,Dine-in,Regular,Original,None,ShopeePay,Rain,24.5,2,22000.0,,0.0,22000.0,0,44000.0,3.8
TX000781,2024-01-06 16:44:52,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-06,Dine-in,Large,Original,ExtraAvocado,GoPay,Cloudy,30.4,1,32300.0,,0.0,32300.0,0,32300.0,3.5
TX006236,2024-01-06 17:04:00,2024-01-06,2024,1,6,Saturday,True,Jakarta,JKT-01,Dine-in,Regular,Original,ExtraAvocado,QRIS,Rain,28.5,1,28100.0,RAINY15,0.15,23900.0,0,23900.0,
TX009193,2024-01-06 17:11:34,2024-01-06,2024,1,6,Saturday,True,Surabaya,SBY-03,Online-App,Regular,Original,ExtraCoconut,Credit,Rain,30.4,1,26700.0,WEEKEND10,0.1,24000.0,14000,38000.0,
TX000413,2024-01-06 18:24:08,2024-01-06,2024,1,6,Saturday,True,Bandung,BDG-02,Online-App,Regular,Original,None,OVO,Cloudy,23.2,1,22000.0,,0.0,22000.0,8000,30000.0,
TX005563,2024-01-06 18:46:29,2024-01-06,2024,1,6,Saturday,True,Surabaya,SBY-05,Delivery,Large,Durian,ExtraJackfruit,Credit,Rain,36.7,2,38000.0,RAINY15,0.15,32300.0,10000,74600.0,
TX001096,2024-01-07 11:58:19,2024-01-07,2024,1,7,Sunday,True,Bandung,BDG-02,Takeaway,Regular,Original,ExtraCoconut,Cash,Rain,23.6,4,26000.0,WEEKEND10,0.1,23400.0,0,93600.0,3.7
TX003141,2024-01-07 13:21:27,2024-01-07,2024,1,7,Sunday,True,Surabaya,SBY-05,Takeaway,Regular,Special,None,Cash,Sunny,38.6,3,25800.0,,0.0,25800.0,0,77400.0,4.1
TX007342,2024-01-07 14:34:28,2024-01-07,2024,1,7,Sunday,True,Jakarta,JKT-08,Dine-in,Regular,Original,ExtraCoconut,Debit,Cloudy,28.4,1,27100.0,,0.0,27100.0,0,27100.0,
TX001876,2024-01-07 14:45:09,2024-01-07,2024,1,7,Sunday,True,Jakarta,JKT-06,Delivery,Regular,Special,None,QRIS,Cloudy,30.7,1,26200.0,,0.0,26200.0,10000,36200.0,
TX006245,2024-01-07 15:03:39,2024-01-07,2024,1,7,Sunday,True,Surabaya,SBY-01,Takeaway,Large,Durian,ExtraAvocado,OVO,Sunny,30.6,1,39000.0,WEEKEND10,0.1,35100.0,0,35100.0,4.3
TX001668,2024-01-07 15:13:48,2024-01-07,2024,1,7,Sunday,True,Surabaya,SBY-02,Takeaway,Regular,Original,ExtraJackfruit,Cash,Sunny,35.3,1,26700.0,,0.0,26700.0,0,26700.0,3.7
TX008297,2024-01-07 15:15:57,2024-01-07,2024,1,7,Sunday,True,Denpasar,DPS-03,Online-App,Regular,Original,ExtraAvocado,QRIS,Rain,29.3,1,28800.0,WEEKEND10,0.1,25900.0,14000,39900.0,
TX005177,2024-01-07 15:31:29,2024-01-07,2024,1,7,Sunday,True,Jakarta,JKT-04,Dine-in,Small,Original,None,OVO,Rain,28.7,4,18900.0,RAINY15,0.15,16100.0,0,64400.0,
TX000496,2024-01-07 18:20:15,2024-01-07,2024,1,7,Sunday,True,Surabaya,SBY-02,Takeaway,Regular,Original,ExtraAvocado,OVO,Cloudy,30.4,2,27700.0,,0.0,27700.0,0,55400.0,
TX004053,2024-01-07 18:39:31,2024-01-07,2024,1,7,Sunday,True,Surabaya,SBY-03,Online-App,Small,Durian,None,GoPay,Sunny,35.0,1,23700.0,,0.0,23700.0,10000,33700.0,
TX004599,2024-01-07 18:56:28,2024-01-07,2024,1,7,Sunday,True,Medan,MDN-01,Takeaway,Regular,Original,None,QRIS,Rain,32.3,1,22400.0,,0.0,22400.0,0,22400.0,4.4
TX007364,2024-01-07 19:01:02,2024-01-07,2024,1,7,Sunday,True,Jakarta,JKT-08,Takeaway,Large,Durian,ExtraCoconut,QRIS,Sunny,35.5,1,38600.0,,0.0,38600.0,0,38600.0,4.6
TX003356,2024-01-07 19:17:42,2024-01-07,2024,1,7,Sunday,True,Denpasar,DPS-02,Takeaway,Large,Durian,None,Cash,Sunny,27.2,2,35600.0,,0.0,35600.0,0,71200.0,3.5
TX006693,2024-01-07 20:58:33,2024-01-07,2024,1,7,Sunday,True,Jakarta,JKT-03,Dine-in,Small,Original,None,ShopeePay,Rain,27.9,2,18900.0,,0.0,18900.0,0,37800.0,
TX008236,2024-01-07 21:28:43,2024-01-07,2024,1,7,Sunday,True,Bandung,BDG-01,Delivery,Regular,LessSugar,None,QRIS,Rain,20.9,1,22000.0,,0.0,22000.0,12000,34000.0,
TX001401,2024-01-08 10:23:53,2024-01-08,2024,1,8,Monday,False,Medan,MDN-03,Online-App,Regular,Original,None,ShopeePay,Rain,28.2,1,22400.0,RAINY15,0.15,19000.0,8000,27000.0,
TX001756,2024-01-08 11:12:43,2024-01-08,2024,1,8,Monday,False,Denpasar,DPS-03,Dine-in,Regular,Original,ExtraJackfruit,OVO,Sunny,34.7,2,27800.0,WEEKEND10,0.1,25000.0,0,50000.0,
TX003675,2024-01-08 11:26:19,2024-01-08,2024,1,8,Monday,False,Denpasar,DPS-01,Takeaway,Small,LessSugar,ExtraJackfruit,QRIS,Cloudy,29.1,2,23400.0,,0.0,23400.0,0,46800.0,5.0
TX008791,2024-01-08 11:42:24,2024-01-08,2024,1,8,Monday,False,Medan,MDN-01,Takeaway,Regular,Original,None,Cash,Cloudy,33.3,1,22400.0,,0.0,22400.0,0,22400.0,
TX007343,2024-01-08 12:07:07,2024-01-08,2024,1,8,Monday,False,Bandung,BDG-05,Dine-in,Small,Durian,None,Debit,Rain,25.1,2,23000.0,,0.0,23000.0,0,46000.0,5.0
TX009747,2024-01-08 13:22:19,2024-01-08,2024,1,8,Monday,False,Jakarta,JKT-01,Dine-in,Small,Special,ExtraAvocado,GoPay,Sunny,36.7,1,26000.0,,0.0,26000.0,0,26000.0,4.8
TX003145,2024-01-08 14:20:05,2024-01-08,2024,1,8,Monday,False,Jakarta,JKT-09,Takeaway,Small,Original,ExtraCoconut,GoPay,Rain,29.3,1,22900.0,,0.0,22900.0,0,22900.0,4.6
TX000438,2024-01-08 14:29:58,2024-01-08,2024,1,8,Monday,False,Bandung,BDG-01,Online-App,Small,Original,ExtraJackfruit,Cash,Sunny,26.2,1,22000.0,,0.0,22000.0,12000,34000.0,
TX009838,2024-01-08 14:40:59,2024-01-08,2024,1,8,Monday,False,Jakarta,JKT-05,Dine-in,Regular,Special,None,QRIS,Rain,27.6,2,26200.0,,0.0,26200.0,0,52400.0,
TX009378,2024-01-08 15:06:47,2024-01-08,2024,1,8,Monday,False,Jakarta,JKT-08,Dine-in,Regular,Original,None,Cash,Rain,28.4,1,23100.0,,0.0,23100.0,0,23100.0,
